text,thisN,thisTrialN,thisRepN,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,go_image,stop_image,corr_resp,is_stop,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Trial_loop.thisRepN,Trial_loop.thisTrialN,Trial_loop.thisN,Trial_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,exp_trial_1.thisRepN,exp_trial_1.thisTrialN,exp_trial_1.thisN,exp_trial_1.thisIndex,exp_trials_2.thisRepN,exp_trials_2.thisTrialN,exp_trials_2.thisN,exp_trials_2.thisIndex,exp_trials_3.thisRepN,exp_trials_3.thisTrialN,exp_trials_3.thisN,exp_trials_3.thisIndex,exp_trials_4.thisRepN,exp_trials_4.thisTrialN,exp_trials_4.thisN,exp_trials_4.thisIndex,thisRow.t,notes,Welcome.started,Welcome_text.started,Welcome_text.stopped,Welcome.stopped,Instruction.started,Inst_text.started,key_resp_inst.started,Instruction.stopped,Trial_loop.key_resp_inst.keys,Trial_loop.key_resp_inst.rt,Trial_loop.key_resp_inst.duration,fixation.started,image.started,fixation.stopped,Stimulus.started,go_arrow.started,key_resp.started,stop_arrow.started,Stimulus.stopped,practice_trial_loop.key_resp.keys,practice_trial_loop.key_resp.corr,practice_trial_loop.key_resp.rt,practice_trial_loop.key_resp.duration,go_rt,stop_success,SSD,Feedback.started,fdback_text.started,fdback_text.stopped,Feedback.stopped,image.stopped,go_arrow.stopped,key_resp.stopped,stop_arrow.stopped,block_feedback.started,fb_text.started,key_resp_4.started,block_feedback.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,exp_trial_1.key_resp.keys,exp_trial_1.key_resp.corr,exp_trial_1.key_resp.rt,exp_trial_1.key_resp.duration,exp_trials_2.key_resp.keys,exp_trials_2.key_resp.corr,exp_trials_2.key_resp.rt,exp_trials_2.key_resp.duration,exp_trials_3.key_resp.keys,exp_trials_3.key_resp.corr,exp_trials_3.key_resp.rt,exp_trials_3.key_resp.duration,exp_trials_4.key_resp.keys,exp_trials_4.key_resp.corr,exp_trials_4.key_resp.rt,exp_trials_4.key_resp.duration,Thank_you.started,thankyou_text.started,Thank_you.stopped,participant,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart
,4,4,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3457848,None,,,,,,,,,0,4,4,2,,,,,,,,,,,,,72.4395764,,,,,,,,,,,,,72.4258739,72.4395764,72.6734273,72.6861856,72.6913827,72.6913827,72.9413884,73.0422415,,,,,0.3457848,None,0.25,,,,,72.6913827,,,,,,,,,,,left,1,0.3457848,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,5,5,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3464197,None,,,,,,,,,0,5,5,5,,,,,,,,,,,,,73.0560936,,,,,,,,,,,,,73.0424115,73.0560936,73.2899894,73.3028142,73.3081874,73.3081874,73.557953,73.6586059,,,,,0.3464197,None,0.25,,,,,73.3081874,,,,,,,,,,,right,1,0.3464197,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,6,6,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3100952,None,,,,,,,,,0,6,6,0,,,,,,,,,,,,,73.6727517,,,,,,,,,,,,,73.6587492,73.6727517,73.9066445,73.9193739,73.9244724,73.9244724,74.1745225,74.2421284,,,,,0.3100952,None,0.25,,,,,73.9244724,,,,,,,,,,,left,1,0.3100952,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,7,7,0,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3274277,None,,,,,,,,,0,7,7,7,,,,,,,,,,,,,74.2561377,,,,,,,,,,,,,74.2422799,74.2561377,74.4896577,74.5078363,74.5133884,74.5133884,74.7588946,74.8428859,,,,,None,0,0.2,,,,,74.5133884,,,,,,,,,,,right,0,0.3274277,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,8,0,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3986456,None,,,,,,,,,1,0,8,5,,,,,,,,,,,,,74.8558218,,,,,,,,,,,,,74.8431541,74.8558218,75.0898328,75.10413,75.1093043,75.1093043,75.307666,75.5250733,,,,,0.3986456,None,0.2,,,,,75.1093043,,,,,,,,,,,right,1,0.3986456,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,9,1,1,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.2967032,None,,,,,,,,,1,1,9,3,,,,,,,,,,,,,75.5391972,,,,,,,,,,,,,75.5252305,75.5391972,75.7730167,75.785081,75.7915013,75.7915013,75.9920598,76.0927705,,,,,None,0,0.15,,,,,75.7915013,,,,,,,,,,,left,0,0.2967032,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,10,2,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.431694,None,,,,,,,,,1,2,10,0,,,,,,,,,,,,,76.1057408,,,,,,,,,,,,,76.0929555,76.1057408,76.3394791,76.3513684,76.357534,76.357534,76.5076078,76.7916383,,,,,0.431694,None,0.15,,,,,76.357534,,,,,,,,,,,left,1,0.431694,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,11,3,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3284476,None,,,,,,,,,1,3,11,1,,,,,,,,,,,,,76.805619,,,,,,,,,,,,,76.7917744,76.805619,77.0394988,77.0518944,77.0574061,77.0574061,77.2074984,77.3914724,,,,,0.3284476,None,0.15,,,,,77.0574061,,,,,,,,,,,left,1,0.3284476,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,12,4,1,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3245442,None,,,,,,,,,1,4,12,7,,,,,,,,,,,,,77.4056171,,,,,,,,,,,,,77.39164,77.4056171,77.6393327,77.6519179,77.6572957,77.6572957,77.8085338,77.9924551,,,,,None,0,0.1,,,,,77.6572957,,,,,,,,,,,right,0,0.3245442,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,13,5,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3817482,None,,,,,,,,,1,5,13,6,,,,,,,,,,,,,78.0056024,,,,,,,,,,,,,77.9926555,78.0056024,78.2392675,78.2517126,78.257278,78.257278,78.3573055,78.6416165,,,,,0.3817482,None,0.1,,,,,78.257278,,,,,,,,,,,right,1,0.3817482,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,14,6,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3569119,None,,,,,,,,,1,6,14,2,,,,,,,,,,,,,78.6555385,,,,,,,,,,,,,78.6417505,78.6555385,78.889252,78.9025394,78.9076583,78.9076583,79.0071724,79.274537,,,,,0.3569119,None,0.1,,,,,78.9076583,,,,,,,,,,,left,1,0.3569119,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,15,7,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.2955385,None,,,,,,,,,1,7,15,4,,,,,,,,,,,,,79.2884814,,,,,,,,,,,,,79.2747289,79.2884814,79.5229047,79.5348679,79.5402868,79.5402868,79.6405023,79.8410755,,,,,0.2955385,None,0.1,,,,,79.5402868,,,,,,,,,,,right,1,0.2955385,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,16,0,2,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.2947646,None,,,,,,,,,2,0,16,3,,,,,,,,,,,,,79.8553607,,,,,,,,,,,,,79.8412122,79.8553607,80.0891256,80.1008734,80.1070509,80.1070509,80.208146,80.4087612,,,,,None,0,0.05,,,,,80.1070509,,,,,,,,,,,left,0,0.2947646,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,17,1,2,,,,images/go_left.png,images/stop_left.png,left,0,right,0,0.2554944,None,,,,,,,,,2,1,17,1,,,,,,,,,,,,,80.4218639,,,,,,,,,,,,,80.408983,80.4218639,80.6558934,80.6684748,80.6737705,80.6737705,80.7237045,80.9408441,,,,,None,None,0.05,,,,,80.6737705,,,,,,,,,,,right,0,0.2554944,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,18,2,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3569902,None,,,,,,,,,2,2,18,6,,,,,,,,,,,,,80.9552111,,,,,,,,,,,,,80.940981,80.9552111,81.1888929,81.2024381,81.2078422,81.2078422,81.2568744,81.5743271,,,,,0.3569902,None,0.05,,,,,81.2078422,,,,,,,,,,,right,1,0.3569902,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,19,3,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3655015,None,,,,,,,,,2,3,19,4,,,,,,,,,,,,,81.5884559,,,,,,,,,,,,,81.5744864,81.5884559,81.8222716,81.8349579,81.840397,81.840397,81.890064,82.2074354,,,,,0.3655015,None,0.05,,,,,81.840397,,,,,,,,,,,right,1,0.3655015,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,20,4,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.2678454,None,,,,,,,,,2,4,20,0,,,,,,,,,,,,,82.2215752,,,,,,,,,,,,,82.2075874,82.2215752,82.4555534,82.467514,82.4732841,82.4732841,82.5233342,82.7573905,,,,,0.2678454,None,0.05,,,,,82.4732841,,,,,,,,,,,left,1,0.2678454,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,21,5,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.32917,None,,,,,,,,,2,5,21,5,,,,,,,,,,,,,82.7715575,,,,,,,,,,,,,82.7575759,82.7715575,83.0054719,83.0178221,83.0233406,83.0233406,83.0733877,83.3572965,,,,,0.32917,None,0.05,,,,,83.0233406,,,,,,,,,,,right,1,0.32917,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,22,6,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3414149,None,,,,,,,,,2,6,22,2,,,,,,,,,,,,,83.3714931,,,,,,,,,,,,,83.3574459,83.3714931,83.6052945,83.616949,83.6231504,83.6231504,83.6733202,83.9737795,,,,,0.3414149,None,0.05,,,,,83.6231504,,,,,,,,,,,left,1,0.3414149,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,23,7,2,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.510359,None,,,,,,,,,2,7,23,7,,,,,,,,,,,,,83.9880493,,,,,,,,,,,,,83.9739302,83.9880493,84.2218391,84.2335669,84.2397186,84.2397186,84.290927,84.7585684,,,,,None,0,0.05,,,,,84.2397186,,,,,,,,,,,right,0,0.510359,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,24,0,3,,,,images/go_right.png,images/stop_right.png,right,0,left,0,0.2882501,None,,,,,,,,,3,0,24,5,,,,,,,,,,,,,84.7712775,,,,,,,,,,,,,84.7587546,84.7712775,85.005128,85.0177764,85.0229616,85.0229616,85.0731467,85.323832,,,,,None,None,0.05,,,,,85.0229616,,,,,,,,,,,left,0,0.2882501,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,25,1,3,,,,images/go_left.png,images/stop_left.png,None,1,right,0,0.1541973,None,,,,,,,,,3,1,25,3,,,,,,,,,,,,,85.3378021,,,,,,,,,,,,,85.3240147,85.3378021,85.5718796,85.5846354,85.5900907,85.5900907,85.6408632,85.7582102,,,,,None,0,0.05,,,,,85.5900907,,,,,,,,,,,right,0,0.1541973,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,26,2,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3613884,None,,,,,,,,,3,2,26,4,,,,,,,,,,,,,85.77121,,,,,,,,,,,,,85.758391,85.77121,86.0049901,86.0170026,86.0228532,86.0228532,86.0729541,86.3901944,,,,,0.3613884,None,0.05,,,,,86.0228532,,,,,,,,,,,right,1,0.3613884,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,27,3,3,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3892144,None,,,,,,,,,3,3,27,7,,,,,,,,,,,,,86.4045174,,,,,,,,,,,,,86.3903767,86.4045174,86.6382174,86.6505226,86.6561772,86.6561772,86.7074431,87.0579173,,,,,None,0,0.05,,,,,86.6561772,,,,,,,,,,,right,0,0.3892144,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,28,4,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.2130757,None,,,,,,,,,3,4,28,2,,,,,,,,,,,,,87.0709915,,,,,,,,,,,,,87.0581333,87.0709915,87.3047991,87.316827,87.3227863,87.3227863,87.3728022,87.5403445,,,,,0.2130757,None,0.05,,,,,87.3227863,,,,,,,,,,,left,1,0.2130757,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,29,5,3,,,,images/go_right.png,images/stop_right.png,right,0,left,0,0.2457328,None,,,,,,,,,3,5,29,6,,,,,,,,,,,,,87.5542253,,,,,,,,,,,,,87.5404964,87.5542253,87.7880689,87.8007038,87.806196,87.806196,87.856085,88.0566876,,,,,None,None,0.05,,,,,87.806196,,,,,,,,,,,left,0,0.2457328,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,30,6,3,,,,images/go_left.png,images/stop_left.png,left,0,right,0,0.0651275,None,,,,,,,,,3,6,30,1,,,,,,,,,,,,,88.0709192,,,,,,,,,,,,,88.0568425,88.0709192,88.3047907,88.3169016,88.3226506,88.3226506,88.3727444,88.3899737,,,,,None,None,0.05,,,,,88.3226506,,,,,,,,,,,right,0,0.0651275,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,31,7,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4728477,None,,,,,,,,,3,7,31,0,,,,,,,,,,,,,88.4041324,,,,,,,,,,,,,88.3901087,88.4041324,88.6380153,88.6498683,88.6558599,88.6558599,88.7060165,89.1401639,,,,,0.4728477,None,0.05,,,,,88.6558599,,,,,,,,,,,left,1,0.4728477,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,32,0,4,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3647106,None,,,,,,,,,4,0,32,0,,,,,,,,,,,,,89.1540862,,,,,,,,,,,,,89.1405102,89.1540862,89.3878733,89.4005598,89.4059723,89.4059723,89.455805,89.773358,,,,,0.3647106,None,0.05,,,,,89.4059723,,,,,,,,,,,left,1,0.3647106,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,33,1,4,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.4769814,None,,,,,,,,,4,1,33,3,,,,,,,,,,,,,89.7873609,,,,,,,,,,,,,89.7735032,89.7873609,90.021163,90.034226,90.0396672,90.0396672,90.0902808,90.524092,,,,,None,0,0.05,,,,,90.0396672,,,,,,,,,,,left,0,0.4769814,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,34,2,4,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3940923,None,,,,,,,,,4,2,34,1,,,,,,,,,,,,,90.5370967,,,,,,,,,,,,,90.5243063,90.5370967,90.7712227,90.7835306,90.7889691,90.7889691,90.8390279,91.1897813,,,,,0.3940923,None,0.05,,,,,90.7889691,,,,,,,,,,,left,1,0.3940923,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,35,3,4,,,,images/go_right.png,images/stop_right.png,right,0,left,0,0.2006565,None,,,,,,,,,4,3,35,5,,,,,,,,,,,,,91.2037472,,,,,,,,,,,,,91.1899636,91.2037472,91.4377079,91.4503942,91.4556577,91.4556577,91.505613,91.6729946,,,,,None,None,0.05,,,,,91.4556577,,,,,,,,,,,left,0,0.2006565,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,36,4,4,,,,images/go_left.png,images/stop_left.png,left,0,right,0,0.0905609,None,,,,,,,,,4,4,36,2,,,,,,,,,,,,,91.6869652,,,,,,,,,,,,,91.6731475,91.6869652,91.9209005,91.9329585,91.9387577,91.9387577,91.9887606,92.039493,,,,,None,None,0.05,,,,,91.9387577,,,,,,,,,,,right,0,0.0905609,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,37,5,4,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4118245,None,,,,,,,,,4,5,37,6,,,,,,,,,,,,,92.0537831,,,,,,,,,,,,,92.0396355,92.0537831,92.287459,92.2992821,92.3054386,92.3054386,92.3556562,92.7228285,,,,,0.4118245,None,0.05,,,,,92.3054386,,,,,,,,,,,right,1,0.4118245,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,38,6,4,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3433992,None,,,,,,,,,4,6,38,4,,,,,,,,,,,,,92.7368197,,,,,,,,,,,,,92.7229697,92.7368197,92.9708592,92.9827029,92.9887046,92.9887046,93.038633,93.3396157,,,,,0.3433992,None,0.05,,,,,92.9887046,,,,,,,,,,,right,1,0.3433992,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,39,7,4,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.8843557,None,,,,,,,,,4,7,39,7,,,,,,,,,,,,,93.3535544,,,,,,,,,,,,,93.339815,93.3535544,93.5874604,93.5998865,93.6054814,93.6054814,93.6565179,94.4907526,,,,,None,0,0.05,,,,,93.6054814,,,,,,,,,,,right,0,0.8843557,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,40,0,5,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3551232,None,,,,,,,,,5,0,40,6,,,,,,,,,,,,,94.503381,,,,,,,,,,,,,94.4909404,94.503381,94.7373338,94.7504008,94.7557681,94.7557681,94.8052496,95.1224058,,,,,0.3551232,None,0.05,,,,,94.7557681,,,,,,,,,,,right,1,0.3551232,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,41,1,5,,,,images/go_left.png,images/stop_left.png,left,0,right,0,0.2584248,None,,,,,,,,,5,1,41,1,,,,,,,,,,,,,95.1365353,,,,,,,,,,,,,95.1225486,95.1365353,95.370548,95.3823307,95.3882487,95.3882487,95.4384879,95.6556711,,,,,None,None,0.05,,,,,95.3882487,,,,,,,,,,,right,0,0.2584248,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,42,2,5,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.2971808,None,,,,,,,,,5,2,42,3,,,,,,,,,,,,,95.6698975,,,,,,,,,,,,,95.6558043,95.6698975,95.903799,95.9155923,95.9215531,95.9215531,95.9729456,96.2236083,,,,,None,0,0.05,,,,,95.9215531,,,,,,,,,,,left,0,0.2971808,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,43,3,5,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3368289,None,,,,,,,,,5,3,43,0,,,,,,,,,,,,,96.2363252,,,,,,,,,,,,,96.223789,96.2363252,96.4703746,96.4826796,96.4880065,96.4880065,96.5382038,96.8388922,,,,,0.3368289,None,0.05,,,,,96.4880065,,,,,,,,,,,left,1,0.3368289,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,44,4,5,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3513082,None,,,,,,,,,5,4,44,5,,,,,,,,,,,,,96.8531097,,,,,,,,,,,,,96.8390448,96.8531097,97.086804,97.0990747,97.1048265,97.1048265,97.1549403,97.4724676,,,,,0.3513082,None,0.05,,,,,97.1048265,,,,,,,,,,,right,1,0.3513082,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,45,5,5,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.4382103,None,,,,,,,,,5,5,45,7,,,,,,,,,,,,,97.4863446,,,,,,,,,,,,,97.4726428,97.4863446,97.7202456,97.7332907,97.7386554,97.7386554,97.7893192,98.1895998,,,,,None,0,0.05,,,,,97.7386554,,,,,,,,,,,right,0,0.4382103,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,46,6,5,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3338601,None,,,,,,,,,5,6,46,2,,,,,,,,,,,,,98.2029807,,,,,,,,,,,,,98.1898144,98.2029807,98.4370573,98.4493321,98.4547207,98.4547207,98.5047429,98.8055915,,,,,0.3338601,None,0.05,,,,,98.4547207,,,,,,,,,,,left,1,0.3338601,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,47,7,5,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3127794,None,,,,,,,,,5,7,47,4,,,,,,,,,,,,,98.8197042,,,,,,,,,,,,,98.8057541,98.8197042,99.0533483,99.0664815,99.0721801,99.0721801,99.1213775,99.3885627,,,,,0.3127794,None,0.05,,,,,99.0721801,,,,,,,,,,,right,1,0.3127794,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,48,0,6,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.3559927,None,,,,,,,,,6,0,48,3,,,,,,,,,,,,,99.4028438,,,,,,,,,,,,,99.3887076,99.4028438,99.6364781,99.6486504,99.6544648,99.6544648,99.7056341,100.0230209,,,,,None,0,0.05,,,,,99.6544648,,,,,,,,,,,left,0,0.3559927,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,49,1,6,,,,images/go_left.png,images/stop_left.png,left,0,right,0,0.24841,None,,,,,,,,,6,1,49,2,,,,,,,,,,,,,100.0360248,,,,,,,,,,,,,100.0232653,100.0360248,100.2697665,100.2815435,100.2876194,100.2876194,100.337802,100.538589,,,,,None,None,0.05,,,,,100.2876194,,,,,,,,,,,right,0,0.24841,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,50,2,6,,,,images/go_right.png,images/stop_right.png,right,0,left,0,0.1685506,None,,,,,,,,,6,2,50,5,,,,,,,,,,,,,100.5526638,,,,,,,,,,,,,100.5387328,100.5526638,100.7862972,100.7982931,100.8043142,100.8043142,100.8544673,100.9885239,,,,,None,None,0.05,,,,,100.8043142,,,,,,,,,,,left,0,0.1685506,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,51,3,6,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3545261,None,,,,,,,,,6,3,51,0,,,,,,,,,,,,,101.002561,,,,,,,,,,,,,100.9886811,101.002561,101.2365684,101.2491579,101.2544102,101.2544102,101.3044302,101.6216334,,,,,0.3545261,None,0.05,,,,,101.2544102,,,,,,,,,,,left,1,0.3545261,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
,52,4,6,,,,images/go_right.png,images/stop_right.png,None,1,left,0,0.2321012,None,,,,,,,,,6,4,52,7,,,,,,,,,,,,,101.6357681,,,,,,,,,,,,,101.6217757,101.6357681,101.869745,101.8827394,101.8880768,101.8880768,101.9386109,102.1228545,,,,,None,0,0.05,,,,,101.8880768,,,,,,,,,,,left,0,0.2321012,None,,,,,,,,,,,,,,,,P001,26,female,1,2026-01-18_16h28.01.002,SST2,2024.02.04,60.00960154,2026-01-18 16h28.23.321095 +0530
