text,thisN,thisTrialN,thisRepN,key_resp_inst.keys,key_resp_inst.rt,key_resp_inst.duration,go_image,stop_image,corr_resp,is_stop,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Trial_loop.thisRepN,Trial_loop.thisTrialN,Trial_loop.thisN,Trial_loop.thisIndex,practice_trial_loop.thisRepN,practice_trial_loop.thisTrialN,practice_trial_loop.thisN,practice_trial_loop.thisIndex,exp_trial_1.thisRepN,exp_trial_1.thisTrialN,exp_trial_1.thisN,exp_trial_1.thisIndex,exp_trials_2.thisRepN,exp_trials_2.thisTrialN,exp_trials_2.thisN,exp_trials_2.thisIndex,exp_trials_3.thisRepN,exp_trials_3.thisTrialN,exp_trials_3.thisN,exp_trials_3.thisIndex,exp_trials_4.thisRepN,exp_trials_4.thisTrialN,exp_trials_4.thisN,exp_trials_4.thisIndex,thisRow.t,notes,Welcome.started,Welcome_text.started,Welcome.stopped,Instruction.started,Inst_text.started,key_resp_inst.started,Instruction.stopped,Trial_loop.key_resp_inst.keys,Trial_loop.key_resp_inst.rt,Trial_loop.key_resp_inst.duration,fixation.started,image.started,fixation.stopped,Stimulus.started,go_arrow.started,key_resp.started,stop_arrow.started,Stimulus.stopped,practice_trial_loop.key_resp.keys,practice_trial_loop.key_resp.corr,practice_trial_loop.key_resp.rt,practice_trial_loop.key_resp.duration,go_rt,stop_success,SSD,Feedback.started,fdback_text.started,fdback_text.stopped,Feedback.stopped,image.stopped,go_arrow.stopped,key_resp.stopped,stop_arrow.stopped,block_feedback.started,fb_text.started,key_resp_4.started,block_feedback.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,exp_trial_1.key_resp.keys,exp_trial_1.key_resp.corr,exp_trial_1.key_resp.rt,exp_trial_1.key_resp.duration,exp_trials_2.key_resp.keys,exp_trials_2.key_resp.corr,exp_trials_2.key_resp.rt,exp_trials_2.key_resp.duration,exp_trials_3.key_resp.keys,exp_trials_3.key_resp.corr,exp_trials_3.key_resp.rt,exp_trials_3.key_resp.duration,exp_trials_4.key_resp.keys,exp_trials_4.key_resp.corr,exp_trials_4.key_resp.rt,exp_trials_4.key_resp.duration,Thank_you.started,thankyou_text.started,Thank_you.stopped,participant,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart
,4,4,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3626631,None,,,,,,,,,0,4,4,6,,,,,,,,,,,,,66.2771232,,,,,,,,,,,,66.26324,66.2771232,66.5108835,66.5248754,66.53014,66.53014,66.878878,66.8959826,,,,,0.3626631,None,0.35,,,,,66.53014,,,,,,,,,,,right,1,0.3626631,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,5,5,0,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.397483,None,,,,,,,,,0,5,5,7,,,,,,,,,,,,,66.9102394,,,,,,,,,,,,66.8961295,66.9102394,67.1440371,67.1560042,67.1620947,67.1620947,67.5131662,67.5639516,,,,,None,0,0.3,,,,,67.1620947,,,,,,,,,,,right,0,0.397483,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,6,6,0,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4012277,None,,,,,,,,,0,6,6,1,,,,,,,,,,,,,67.5768872,,,,,,,,,,,,67.5641539,67.5768872,67.8107893,67.8233722,67.8286843,67.8286843,68.1286481,68.2459593,,,,,0.4012277,None,0.3,,,,,67.8286843,,,,,,,,,,,left,1,0.4012277,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,7,7,0,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4304818,None,,,,,,,,,0,7,7,5,,,,,,,,,,,,,68.2602628,,,,,,,,,,,,68.2461216,68.2602628,68.4938648,68.506275,68.511902,68.511902,68.8118691,68.9459857,,,,,0.4304818,None,0.3,,,,,68.511902,,,,,,,,,,,right,1,0.4304818,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,8,0,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4016248,None,,,,,,,,,1,0,8,4,,,,,,,,,,,,,68.9601364,,,,,,,,,,,,68.9461317,68.9601364,69.1937618,69.2057924,69.2118715,69.2118715,69.5118951,69.6290853,,,,,0.4016248,None,0.3,,,,,69.2118715,,,,,,,,,,,right,1,0.4016248,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,9,1,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3793113,None,,,,,,,,,1,1,9,6,,,,,,,,,,,,,69.6431401,,,,,,,,,,,,69.6292221,69.6431401,69.8772639,69.889571,69.8949462,69.8949462,70.1951574,70.2791056,,,,,0.3793113,None,0.3,,,,,69.8949462,,,,,,,,,,,right,1,0.3793113,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,10,2,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3802654,None,,,,,,,,,1,2,10,2,,,,,,,,,,,,,70.2932291,,,,,,,,,,,,70.2792831,70.2932291,70.5270633,70.5398703,70.5450392,70.5450392,70.8448342,70.9290804,,,,,0.3802654,None,0.3,,,,,70.5450392,,,,,,,,,,,left,1,0.3802654,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,11,3,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3721436,None,,,,,,,,,1,3,11,0,,,,,,,,,,,,,70.9430435,,,,,,,,,,,,70.9292883,70.9430435,71.1769169,71.1908479,71.1959872,71.1959872,71.4948675,71.5789368,,,,,0.3721436,None,0.3,,,,,71.1959872,,,,,,,,,,,left,1,0.3721436,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,12,4,1,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4332709,None,,,,,,,,,1,4,12,1,,,,,,,,,,,,,71.5928703,,,,,,,,,,,,71.5791046,71.5928703,71.8268444,71.8390132,71.8447015,71.8447015,72.1448464,72.2789704,,,,,0.4332709,None,0.3,,,,,71.8447015,,,,,,,,,,,left,1,0.4332709,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,13,5,1,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3850662,None,,,,,,,,,1,5,13,7,,,,,,,,,,,,,72.2929532,,,,,,,,,,,,72.2791204,72.2929532,72.5269201,72.538767,72.5444929,72.5444929,72.8458564,72.9464647,,,,,None,0,0.25,,,,,72.5444929,,,,,,,,,,,right,0,0.3850662,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,14,6,1,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3897958,None,,,,,,,,,1,6,14,5,,,,,,,,,,,,,72.9595255,,,,,,,,,,,,72.9467274,72.9595255,73.1932886,73.2055865,73.2112379,73.2112379,73.4613822,73.6125258,,,,,0.3897958,None,0.25,,,,,73.2112379,,,,,,,,,,,right,1,0.3897958,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,15,7,1,,,,images/go_left.png,images/stop_left.png,None,1,left,0,0.3886249,None,,,,,,,,,1,7,15,3,,,,,,,,,,,,,73.6261913,,,,,,,,,,,,73.6127936,73.6261913,73.8600954,73.8741174,73.8793481,73.8793481,74.1289781,74.2796927,,,,,None,0,0.2,,,,,73.8793481,,,,,,,,,,,left,0,0.3886249,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,16,0,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3939039,None,,,,,,,,,2,0,16,2,,,,,,,,,,,,,74.2926423,,,,,,,,,,,,74.27988,74.2926423,74.5265169,74.5386085,74.5444741,74.5444741,74.7445043,74.9449021,,,,,0.3939039,None,0.2,,,,,74.5444741,,,,,,,,,,,left,1,0.3939039,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,17,1,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3541475,None,,,,,,,,,2,1,17,1,,,,,,,,,,,,,74.9592926,,,,,,,,,,,,74.9450397,74.9592926,75.1930421,75.2046321,75.2110485,75.2110485,75.4110844,75.5783502,,,,,0.3541475,None,0.2,,,,,75.2110485,,,,,,,,,,,left,1,0.3541475,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,18,2,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3717362,None,,,,,,,,,2,2,18,5,,,,,,,,,,,,,75.5926427,,,,,,,,,,,,75.5784839,75.5926427,75.8263946,75.8382736,75.8440601,75.8440601,76.0442693,76.2284369,,,,,0.3717362,None,0.2,,,,,75.8440601,,,,,,,,,,,right,1,0.3717362,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,19,3,2,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3403367,None,,,,,,,,,2,3,19,7,,,,,,,,,,,,,76.2425343,,,,,,,,,,,,76.2285848,76.2425343,76.4761775,76.4911605,76.4964628,76.4964628,76.6952845,76.8461089,,,,,None,0,0.15,,,,,76.4964628,,,,,,,,,,,right,0,0.3403367,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,20,4,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4638464,None,,,,,,,,,2,4,20,4,,,,,,,,,,,,,76.8590436,,,,,,,,,,,,76.8463793,76.8590436,77.0928704,77.1058453,77.111409,77.111409,77.2609553,77.5782122,,,,,0.4638464,None,0.15,,,,,77.111409,,,,,,,,,,,right,1,0.4638464,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,21,5,2,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,,,,,2,5,21,3,,,,,,,,,,,,,77.5921134,,,,,,,,,,,,77.5783691,77.5921134,77.8261749,77.8382,77.8439867,77.8439867,77.9951067,79.2438397,,,,,None,1,0.2,,,,,77.8439867,79.0932913,79.0932913,79.2587586,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,22,6,2,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3481684,None,,,,,,,,,2,6,22,0,,,,,,,,,,,,,79.2587586,,,,,,,,,,,,79.244104,79.2587586,79.4923726,79.5045036,79.5105145,79.5105145,79.6936864,79.8615138,,,,,0.3481684,None,0.2,,,,,79.5105145,,,,,,,,,,,left,1,0.3481684,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,23,7,2,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3422436,None,,,,,,,,,2,7,23,6,,,,,,,,,,,,,79.8754217,,,,,,,,,,,,79.8617027,79.8754217,80.1092512,80.1217707,80.1272149,80.1272149,80.3271933,80.4779178,,,,,0.3422436,None,0.2,,,,,80.1272149,,,,,,,,,,,right,1,0.3422436,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,24,0,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3910875,None,,,,,,,,,3,0,24,6,,,,,,,,,,,,,80.4917672,,,,,,,,,,,,80.4780553,80.4917672,80.725757,80.739128,80.744419,80.744419,80.9437723,81.1444291,,,,,0.3910875,None,0.2,,,,,80.744419,,,,,,,,,,,right,1,0.3910875,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,25,1,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4261705,None,,,,,,,,,3,1,25,1,,,,,,,,,,,,,81.1585755,,,,,,,,,,,,81.1446092,81.1585755,81.3922492,81.4047551,81.4102516,81.4102516,81.6103526,81.8441851,,,,,0.4261705,None,0.2,,,,,81.4102516,,,,,,,,,,,left,1,0.4261705,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,26,2,3,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3473949,None,,,,,,,,,3,2,26,7,,,,,,,,,,,,,81.8584359,,,,,,,,,,,,81.8443234,81.8584359,82.0922894,82.1046778,82.110196,82.110196,82.3112597,82.4621044,,,,,None,0,0.15,,,,,82.110196,,,,,,,,,,,right,0,0.3473949,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,27,3,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4024226,None,,,,,,,,,3,3,27,5,,,,,,,,,,,,,82.4751638,,,,,,,,,,,,82.4623322,82.4751638,82.7089141,82.7219695,82.7273345,82.7273345,82.8769568,83.1440848,,,,,0.4024226,None,0.15,,,,,82.7273345,,,,,,,,,,,right,1,0.4024226,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,28,4,3,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3950966,None,,,,,,,,,3,4,28,4,,,,,,,,,,,,,83.1583377,,,,,,,,,,,,83.1442188,83.1583377,83.3919612,83.4041189,83.4099827,83.4099827,83.5600858,83.810829,,,,,0.3950966,None,0.15,,,,,83.4099827,,,,,,,,,,,right,1,0.3950966,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,29,5,3,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,,,,,3,5,29,3,,,,,,,,,,,,,83.8248933,,,,,,,,,,,,83.8110011,83.8248933,84.0587388,84.0714176,84.0766041,84.0766041,84.2278325,85.4763512,,,,,None,1,0.2,,,,,84.0766041,85.3258277,85.3258277,85.4912855,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,30,6,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4015514,None,,,,,,,,,3,6,30,2,,,,,,,,,,,,,85.4912855,,,,,,,,,,,,85.4765979,85.4912855,85.7250687,85.7372918,85.742877,85.742877,85.9264776,86.1606866,,,,,0.4015514,None,0.2,,,,,85.742877,,,,,,,,,,,left,1,0.4015514,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,31,7,3,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.394368,None,,,,,,,,,3,7,31,0,,,,,,,,,,,,,86.1745086,,,,,,,,,,,,86.1608256,86.1745086,86.4084087,86.4211337,86.4265577,86.4265577,86.626209,86.8271135,,,,,0.394368,None,0.2,,,,,86.4265577,,,,,,,,,,,left,1,0.394368,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,32,0,4,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4304784,None,,,,,,,,,4,0,32,5,,,,,,,,,,,,,86.8411646,,,,,,,,,,,,86.8272685,86.8411646,87.0749896,87.0872701,87.0927053,87.0927053,87.2927909,87.5269466,,,,,0.4304784,None,0.2,,,,,87.0927053,,,,,,,,,,,right,1,0.4304784,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,33,1,4,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4064852,None,,,,,,,,,4,1,33,0,,,,,,,,,,,,,87.5411444,,,,,,,,,,,,87.5270805,87.5411444,87.7749391,87.787256,87.7925388,87.7925388,87.9927895,88.2101217,,,,,0.4064852,None,0.2,,,,,87.7925388,,,,,,,,,,,left,1,0.4064852,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,34,2,4,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4140344,None,,,,,,,,,4,2,34,1,,,,,,,,,,,,,88.2242293,,,,,,,,,,,,88.2102743,88.2242293,88.4581145,88.4700756,88.475984,88.475984,88.6760717,88.8935582,,,,,0.4140344,None,0.2,,,,,88.475984,,,,,,,,,,,left,1,0.4140344,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,35,3,4,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3925122,None,,,,,,,,,4,3,35,6,,,,,,,,,,,,,88.9075194,,,,,,,,,,,,88.8937525,88.9075194,89.1414444,89.1543791,89.1598085,89.1598085,89.359335,89.5601105,,,,,0.3925122,None,0.2,,,,,89.1598085,,,,,,,,,,,right,1,0.3925122,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,36,4,4,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3714792,None,,,,,,,,,4,4,36,7,,,,,,,,,,,,,89.5742065,,,,,,,,,,,,89.5602635,89.5742065,89.807996,89.821211,89.8266737,89.8266737,90.0270651,90.2109995,,,,,None,0,0.15,,,,,89.8266737,,,,,,,,,,,right,0,0.3714792,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,37,5,4,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3927354,None,,,,,,,,,4,5,37,4,,,,,,,,,,,,,90.2241564,,,,,,,,,,,,90.2111924,90.2241564,90.4580149,90.4703471,90.475792,90.475792,90.6259036,90.8766018,,,,,0.3927354,None,0.15,,,,,90.475792,,,,,,,,,,,right,1,0.3927354,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,38,6,4,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3742597,None,,,,,,,,,4,6,38,2,,,,,,,,,,,,,90.8904263,,,,,,,,,,,,90.8767341,90.8904263,91.1244935,91.1369737,91.142314,91.142314,91.2923986,91.5267556,,,,,0.3742597,None,0.15,,,,,91.142314,,,,,,,,,,,left,1,0.3742597,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,39,7,4,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,,,,,4,7,39,3,,,,,,,,,,,,,91.5404327,,,,,,,,,,,,91.5269147,91.5404327,91.7745477,91.7870095,91.7922301,91.7922301,91.9435298,93.1921365,,,,,None,1,0.2,,,,,91.7922301,93.0415146,93.0415146,93.2069364,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,40,0,5,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4717018,None,,,,,,,,,5,0,40,2,,,,,,,,,,,,,93.2069364,,,,,,,,,,,,93.1923643,93.2069364,93.4409368,93.4529087,93.4586791,93.4586791,93.6419868,93.942796,,,,,0.4717018,None,0.2,,,,,93.4586791,,,,,,,,,,,left,1,0.4717018,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,41,1,5,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4275339,None,,,,,,,,,5,1,41,5,,,,,,,,,,,,,93.9568393,,,,,,,,,,,,93.9429471,93.9568393,94.1906399,94.2032619,94.2089348,94.2089348,94.4087437,94.6429909,,,,,0.4275339,None,0.2,,,,,94.2089348,,,,,,,,,,,right,1,0.4275339,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,42,2,5,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4045593,None,,,,,,,,,5,2,42,6,,,,,,,,,,,,,94.6567586,,,,,,,,,,,,94.6431772,94.6567586,94.890519,94.9028607,94.9085454,94.9085454,95.1086096,95.3260433,,,,,0.4045593,None,0.2,,,,,94.9085454,,,,,,,,,,,right,1,0.4045593,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,43,3,5,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.5970847,None,,,,,,,,,5,3,43,1,,,,,,,,,,,,,95.3399986,,,,,,,,,,,,95.3261807,95.3399986,95.5740555,95.58645,95.5916904,95.5916904,95.791824,96.1926257,,,,,0.5970847,None,0.2,,,,,95.5916904,,,,,,,,,,,left,1,0.5970847,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,44,4,5,,,,images/go_left.png,images/stop_left.png,None,1,None,1,,,,,,,,,,,5,4,44,3,,,,,,,,,,,,,96.2066794,,,,,,,,,,,,96.1927743,96.2066794,96.440532,96.4525647,96.4583845,96.4583845,96.659542,97.9081945,,,,,None,1,0.25,,,,,96.4583845,97.7076447,97.7076447,97.9231436,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,45,5,5,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.3895215,None,,,,,,,,,5,5,45,0,,,,,,,,,,,,,97.9231436,,,,,,,,,,,,97.9083864,97.9231436,98.1569428,98.1693724,98.1748079,98.1748079,98.4248791,98.5755959,,,,,0.3895215,None,0.25,,,,,98.1748079,,,,,,,,,,,left,1,0.3895215,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,46,6,5,,,,images/go_right.png,images/stop_right.png,None,1,right,0,0.3888861,None,,,,,,,,,5,6,46,7,,,,,,,,,,,,,98.5894494,,,,,,,,,,,,98.5757282,98.5894494,98.8234385,98.8373386,98.8425928,98.8425928,99.092387,99.2431124,,,,,None,0,0.2,,,,,98.8425928,,,,,,,,,,,right,0,0.3888861,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,47,7,5,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.3679408,None,,,,,,,,,5,7,47,4,,,,,,,,,,,,,99.2562492,,,,,,,,,,,,99.2434259,99.2562492,99.4900729,99.5023435,99.5079749,99.5079749,99.7079561,99.8917194,,,,,0.3679408,None,0.2,,,,,99.5079749,,,,,,,,,,,right,1,0.3679408,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,48,0,6,,,,images/go_right.png,images/stop_right.png,None,1,None,1,,,,,,,,,,,6,0,48,7,,,,,,,,,,,,,99.9062154,,,,,,,,,,,,99.8918557,99.9062154,100.1398794,100.151783,100.1578822,100.1578822,100.3590488,101.6075816,,,,,None,1,0.25,,,,,100.1578822,101.4071791,101.4071791,101.6226235,,,,,,,,None,1,,,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,49,1,6,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.5514726,None,,,,,,,,,6,1,49,4,,,,,,,,,,,,,101.6226235,,,,,,,,,,,,101.6077685,101.6226235,101.8564904,101.8683246,101.8743538,101.8743538,102.1077398,102.4415527,,,,,0.5514726,None,0.25,,,,,101.8743538,,,,,,,,,,,right,1,0.5514726,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,50,2,6,,,,images/go_right.png,images/stop_right.png,right,0,right,1,0.4302589,None,,,,,,,,,6,2,50,5,,,,,,,,,,,,,102.4557893,,,,,,,,,,,,102.4416862,102.4557893,102.6894835,102.7019616,102.7074957,102.7074957,102.9575842,103.1415229,,,,,0.4302589,None,0.25,,,,,102.7074957,,,,,,,,,,,right,1,0.4302589,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,51,3,6,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4569988,None,,,,,,,,,6,3,51,0,,,,,,,,,,,,,103.1557922,,,,,,,,,,,,103.1416663,103.1557922,103.3895852,103.4024751,103.4077709,103.4077709,103.6575277,103.8751454,,,,,0.4569988,None,0.25,,,,,103.4077709,,,,,,,,,,,left,1,0.4569988,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
,52,4,6,,,,images/go_left.png,images/stop_left.png,left,0,left,1,0.4261581,None,,,,,,,,,6,4,52,2,,,,,,,,,,,,,103.8888348,,,,,,,,,,,,103.8753261,103.8888348,104.1228132,104.1356837,104.1408467,104.1408467,104.3906495,104.5749536,,,,,0.4261581,None,0.25,,,,,104.1408467,,,,,,,,,,,left,1,0.4261581,None,,,,,,,,,,,,,,,,P002,25,female,1,2026-01-18_16h35.38.433,SST2,2024.02.04,59.92265184,2026-01-18 16h36.00.359619 +0530
